check_id,perturbation_name,producer_step_id,affected_step_id,dependency_support_removed,later_supported_step_ids,affected_steps,rejected_support_violation_count,status,message
E5.1,Lower predicate confidence below threshold,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,,[],[],0,PASS,Accepted step degraded after its predicate confidence fell below tau_unc.
E5.2,Remove a required support predicate,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,True,[],[],0,PASS,Required produced-effect support was removed and the requirement became missing.
E5.3,Replace an object type with an incompatible type,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,,[],[],0,PASS,Corrupted object evidence produced a conservative decision with inspectable input evidence.
E5.4,Inject an explicit error action or incompatibility,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,,[],[],0,PASS,Injected hard incompatibility rejected the step and its effects no longer support later dependencies.
E5.5,Remove a produced effect used by later steps,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10,,[],"[{""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_7"", ""baseline_status"": ""uncertain"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 4, ""conservative_transition"": true}, {""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10"", ""baseline_status"": ""accepted"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 1, ""conservative_transition"": true}, {""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_12"", ""baseline_status"": ""uncertain"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 2, ""conservative_transition"": true}, {""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_25"", ""baseline_status"": ""accepted"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 1, ""conservative_transition"": true}, {""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_27"", ""baseline_status"": ""uncertain"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 2, ""conservative_transition"": true}, {""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_28"", ""baseline_status"": ""accepted"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 1, ""conservative_transition"": true}, {""step_id"": ""step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_30"", ""baseline_status"": ""uncertain"", ""perturbed_status"": ""rejected"", ""support_removed"": true, ""missing_requirement_count"": 2, ""conservative_transition"": true}]",0,PASS,Removed produced effect downgraded 7 later dependencies.
