clip_result_id,run_id,mode,archive_name,clip,step_count,predicate_count,steps_with_predicate_evidence,steps_with_meaningful_action_object_evidence,requires_count,produces_count,requires_tool_count,requires_safety_count,incompatibility_count,remove_step_count,remove_requires_installed_count,remove_produces_removed_count,unsupported_action_count,unsupported_actions,rule_coverage_warning_count,rule_coverage_warnings
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p2,12_assy_3_4,17,170,17,17,20,16,1,5,1,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p2,13_assy_0_1,17,170,17,17,20,17,3,4,0,4,4,4,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,17_assy_0_1,29,288,29,29,32,27,3,6,2,9,9,9,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,17_assy_1_5,21,209,21,21,24,20,1,5,1,7,7,7,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,18_assy_0_1,19,194,19,19,23,19,3,5,0,5,5,5,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,18_assy_2_5,19,192,19,19,20,16,3,5,3,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,19_assy_0_1,11,112,11,11,14,11,1,4,0,1,1,1,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,19_assy_3_5,17,170,17,17,20,16,1,5,1,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,23_assy_0_1,13,136,13,13,17,13,1,5,0,2,2,2,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p3,23_assy_1_2,17,170,17,17,20,16,1,5,1,3,3,3,0,,0,{}
