clip_result_id,constraint_name,constraint_kind,count,confidence_min,confidence_mean,confidence_max
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,produces,expected_effect,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,requires,inferred_precondition,15,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,produces,expected_effect,17,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,requires,implicit_assembly_condition,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,requires,inferred_precondition,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,requiresSafety,safety_constraint,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,produces,expected_effect,27,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,requires,implicit_assembly_condition,6,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,requires,inferred_precondition,26,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,requiresSafety,safety_constraint,6,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,produces,expected_effect,20,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,requires,inferred_precondition,19,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,produces,expected_effect,19,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,requires,inferred_precondition,18,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,produces,expected_effect,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,requires,inferred_precondition,15,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,produces,expected_effect,11,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,requires,implicit_assembly_condition,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,requires,inferred_precondition,10,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,requiresSafety,safety_constraint,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,produces,expected_effect,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,requires,inferred_precondition,15,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,produces,expected_effect,13,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,requires,inferred_precondition,12,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,produces,expected_effect,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,requires,inferred_precondition,15,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,produces,expected_effect,11,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,requires,implicit_assembly_condition,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,requires,inferred_precondition,10,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,requiresSafety,safety_constraint,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,incompatibleAction,compatibility,2,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,produces,expected_effect,14,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,requires,implicit_assembly_condition,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,requires,inferred_precondition,13,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,requiresSafety,safety_constraint,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,incompatibleAction,compatibility,2,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,produces,expected_effect,32,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,requires,inferred_precondition,31,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,requiresTool,required_tool,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,incompatibleAction,compatibility,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,produces,expected_effect,18,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,requires,inferred_precondition,17,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,requiresTool,required_tool,2,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,produces,expected_effect,17,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,requires,implicit_assembly_condition,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,requires,inferred_precondition,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,requiresSafety,safety_constraint,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,incompatibleAction,compatibility,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,produces,expected_effect,11,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,requires,implicit_assembly_condition,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,requires,inferred_precondition,10,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,requiresSafety,safety_constraint,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,produces,expected_effect,13,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,requires,inferred_precondition,12,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,incompatibleAction,compatibility,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,produces,expected_effect,20,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,requires,implicit_assembly_condition,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,requires,inferred_precondition,19,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,requiresSafety,safety_constraint,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,requiresTool,required_tool,2,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,produces,expected_effect,23,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,requires,inferred_precondition,22,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,incompatibleAction,compatibility,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,produces,expected_effect,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,requires,inferred_precondition,15,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,produces,expected_effect,17,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,requires,implicit_assembly_condition,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,requires,inferred_precondition,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,requiresSafety,safety_constraint,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,incompatibleAction,compatibility,2,1.0,1.0,1.0
