clip_result_id,action_name,step_count,covered_step_count,uncovered_step_count,warning_codes,matched_rule_count_sum,produced_constraint_count_sum
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,install,13,13,0,,36,36
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,remove,3,3,0,,6,6
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,install,13,13,0,,35,35
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,remove,4,4,0,,9,9
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,error,2,2,0,,2,2
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,install,18,18,0,,49,49
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,remove,9,9,0,,19,19
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,error,1,1,0,,1,1
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,install,13,13,0,,36,36
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_1_5,remove,7,7,0,,14,14
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,install,14,14,0,,39,39
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_0_1,remove,5,5,0,,11,11
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,error,3,3,0,,5,5
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,install,13,13,0,,36,36
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__18_assy_2_5,remove,3,3,0,,6,6
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_0_1,install,10,10,0,,28,28
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_0_1,remove,1,1,0,,2,2
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,error,1,1,0,,1,1
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,install,13,13,0,,36,36
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__19_assy_3_5,remove,3,3,0,,6,6
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_0_1,install,11,11,0,,32,32
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_0_1,remove,2,2,0,,4,4
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,error,1,1,0,,1,1
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,install,13,13,0,,36,36
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__23_assy_1_2,remove,3,3,0,,6,6
