clip,state_frames_scored,state_accuracy,state_correct,score_start_frame,scored_gt_steps,predicted_steps,diagnostic_predicted_steps,legal_state_rate,error_window_recall,event_window_evidence_ratio,step_precision,step_recall,median_step_delay_frames,psr_pos,psr_f1,psr_avg_delay_s,psr_tps,psr_fps,psr_fns,b3_diagnostic_step_precision,b3_diagnostic_step_recall,b3_diagnostic_median_delay_frames,b3_diagnostic_psr_pos,b3_diagnostic_psr_f1,b3_diagnostic_psr_avg_delay_s
03_assy_0_1,64,1.0,64,709,2,2,4,1.0,,0.0,1.0,1.0,43,1.0,1.0,4.3,2,0,0,0.5,1.0,51,0.0,0.6667,5.1
03_assy_1_3,68,1.0,68,519,2,2,2,1.0,1.0,,1.0,1.0,0,1.0,1.0,0.0,2,0,0,0.0,0.0,,0.0,0.0,
