clip,duration_s,has_pred,pos,f1,avg_delay_s,TPs,FPs,FNs
03_assy_0_1,275.4,True,1.0,1.0,2.97,9,0,0
03_assy_1_3,263.0,False,0.0,0.0,,0,0,3
